"X","C1","C2","Ylin1","Ylin2","Ylin3","Ylin4","Ybin1","Ybin2","Ybin3","Ybin4","Ybin5"
1,0.0173587854139766,1.6660966755103,0.742538657440028,1.81059536403314,0.955987055180452,1.0193766757653,1,0,1,1,0
0,-0.536201212147066,-1.34496505845624,-1.50495751153712,0.0453477240043674,-0.895143821043359,0.10744415158407,1,1,0,0,1
1,-0.453539070385418,-0.692302130287729,-1.29847792573275,1.29172703783608,-1.3868903142087,0.591550721873173,0,1,0,0,0
0,0.482822366481125,-0.333576657841888,-2.80830757624403,-0.786946250544299,-0.750369530343225,1.07067765729107,0,0,1,0,1
0,-1.29820781340451,-0.994916137222617,-0.137745571739061,-0.374410498298281,-1.68016088574601,-1.01539945603449,0,1,0,0,0
0,0.798985319642227,0.683297567001986,-0.995832654976659,0.831697393564019,0.728409433425643,0.186418317014035,0,1,1,1,0
1,-0.270634594129995,-0.562072412195277,0.480834390661556,1.25833024515685,0.845251546414,1.48392529258522,1,0,1,1,0
1,0.341681875772019,2.21363187989968,0.385553568379173,2.98838292395091,1.58042806400464,-0.326012420282984,0,1,0,0,0
1,0.293721079355006,0.0526387704955922,-0.600534782041869,-1.43933349691044,-0.280758387557385,0.8143777709789,1,0,0,1,1
0,0.247157095889989,0.400909789979479,-0.00295480604851163,-0.0549283306046693,-0.531670714384252,-0.494559072240121,0,0,NA,1,1
1,-0.399832127252529,-1.59474421666753,-1.14398298390344,0.307800497072819,-0.020940854476777,0.698347055800605,1,1,1,0,1
0,0.22921481743567,-1.00708037085827,-0.188202615281742,0.534901314201663,0.939326283319139,-0.686454868459105,1,0,0,1,0
0,0.109962361259119,0.408631958981472,-1.78811066173478,-1.40040056973217,-1.35752883033273,-1.53783451737976,0,0,0,0,0
1,-1.16910496377869,-1.48936985983137,1.22002462599277,0.00763669775377323,-1.26355288838753,0.198160756772253,1,0,1,1,1
0,-0.0962263167620839,-0.00499448125845884,-1.99954926017381,0.325239379580226,-1.24815247319414,-0.757948163161371,0,0,1,0,0
1,-1.1918450844627,-0.316684866906244,-0.626654462509812,-0.0126443241472839,1.33820185925069,-0.0596100131292173,1,0,1,1,1
1,-0.537990913789095,0.640115094944077,-2.29051430541033,-1.16053783334579,0.499970517899951,-0.644494499362771,1,0,0,0,0
0,-1.76535526373128,-0.344584834801344,-1.41304174375847,-0.390048151153082,-0.210983287338985,-1.44879716070895,0,1,0,1,0
1,-0.231182980396355,-0.558152703824964,-0.152929830466283,-0.469413458276485,0.544980094260419,1.39806489653698,1,1,1,0,1
1,0.824795313740778,-0.844948194643707,0.159715887244932,2.13706149900132,1.18859080850382,0.35979030243807,1,1,1,1,0
0,-0.89823689506684,-1.02715476699964,-1.43240145084095,-1.17469401584891,-0.204831721851836,-1.07005495913219,0,0,1,1,1
1,-0.688210170376628,-0.783758674669807,1.58950670901292,0.903970684686409,1.01285914732409,-0.355282631557415,1,1,0,0,0
1,-0.208711303351785,2.0965648849676,0.110542385891724,1.465859569463,0.114881107531494,0.898254919848517,0,0,1,1,1
0,-0.286615263862505,-0.00849808519848983,0.414606630724762,-1.71468068547554,-0.804949945128457,2.90004011647354,1,1,1,1,0
1,-0.864795667538308,0.792737528690571,-0.0998440143965435,-0.0963708234807646,0.05871055915391,-1.91338871221193,1,0,0,1,1
0,-0.896738401423208,0.381183546152575,0.519683560070683,-0.36898110341305,-1.2653825995455,0.100978899592971,1,1,0,1,0
0,1.94870903622568,-0.925014038457341,-0.881015581228467,-1.28002083887237,0.587385730319465,-0.0671334309800548,0,1,0,1,0
0,-0.536390744836231,-1.66477669410735,0.222175662651675,1.01888076579183,0.31201945901963,-1.23350049948166,1,1,0,1,0
0,-0.231242553290611,1.48456404001029,-0.136590303476457,-0.0559883407025411,-2.27506143355598,-0.262063224241678,0,0,1,0,0
0,-0.520035728359749,0.474961941397631,-0.107056199070066,0.86870410972289,-0.699742923260425,-0.70379033586004,0,1,0,1,0
